event_timestamp,retrieved_at,symbol,side,level,price,volume,source,collector_session_id,rotation_group,generation,subscription_started_at
,2026-09-22T02:45:27.699771+00:00,AWC,ask,7,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,bid,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,ask,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,bid,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,ask,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,bid,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.699771+00:00,AWC,ask,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,1,14.7,1000,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,1,15.2,60000,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,2,14.6,2000,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,2,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,3,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,3,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,4,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,4,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,5,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,5,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,6,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,6,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,7,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,7,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,8,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,9,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,bid,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.702150+00:00,BANPU,ask,10,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,1,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,1,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,2,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,ask,2,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
,2026-09-22T02:45:27.705061+00:00,ADVANC,bid,3,0.0,0,SETTRADE_BBO,20260922T024527197302Z,0,0,2026-09-22T02:45:27.197361+00:00
