yahoo_ticker,set_symbols,membership_periods,requested_start,requested_end,requested_end_exclusive,actual_first_date,actual_last_date,rows,status,depth_status,request_mode,validation_status,coverage_issues,validation_issues,error,output_file
TCAP.BK,TCAP,"2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (1.00%); Low above Open/Close by 0.50 (1.54%),,data\pilot\historical_depth_experiment\TCAP_BK.csv
TFG.BK,TFG,2026_H2,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.02 (0.50%); Low above Open/Close by 0.06 (1.57%),,data\pilot\historical_depth_experiment\TFG_BK.csv
THAI.BK,THAI,2026_H2,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\THAI_BK.csv
TIDLOR.BK,TIDLOR,"2023_H1,2023_H2,2024_H2,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2025-05-16,2026-09-18,333,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,PASS,coverage starts after requested start: 2025-05-16 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,,,data\pilot\historical_depth_experiment\TIDLOR_BK.csv
TISCO.BK,TISCO,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.25 (0.26%),,data\pilot\historical_depth_experiment\TISCO_BK.csv
TLI.BK,TLI,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2022-07-25,2026-09-18,1015,PARTIAL,START_AFTER_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2022-07-25 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.10 (0.77%),,data\pilot\historical_depth_experiment\TLI_BK.csv
TOP.BK,TOP,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.50 (0.73%),,data\pilot\historical_depth_experiment\TOP_BK.csv
TRUE.BK,TRUE,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.05 (0.70%); Low above Open/Close by 0.05 (0.76%),,data\pilot\historical_depth_experiment\TRUE_BK.csv
TTB.BK,TTB,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.01 (0.58%); Low above Open/Close by 0.01 (0.58%),,data\pilot\historical_depth_experiment\TTB_BK.csv
TU.BK,TU,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.10 (0.68%),,data\pilot\historical_depth_experiment\TU_BK.csv
VGI.BK,VGI,2025_H2,2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,Low above Open/Close by 0.02 (0.74%),,data\pilot\historical_depth_experiment\VGI_BK.csv
WHA.BK,WHA,"2023_H2,2024_H1,2024_H2,2025_H1,2025_H2,2026_H1,2026_H2",2016-01-01,2026-09-19,2026-09-20,2016-01-04,2026-09-18,2608,PARTIAL,REACHES_2016_START,REUSED_EXPERIMENT_FILE,ISSUES,coverage starts after requested start: 2016-01-04 > 2016-01-01; coverage ends before requested end: 2026-09-18 < 2026-09-19,High below Open/Close by 0.05 (0.98%),,data\pilot\historical_depth_experiment\WHA_BK.csv
,INTUCH,"2023_H1,2023_H2,2024_H1,2024_H2,2025_H1",2016-01-01,2026-09-19,2026-09-20,,,0,MAPPING_NOT_FOUND,NOT_REQUESTED,NOT_REQUESTED,NOT_RUN,,,No request made because existing Yahoo mapping is not VERIFIED; no ticker guessed.,
