design,year,month,side,reason_class,price_bucket,notional_bucket,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
A,2023,2023-06,SELL,NORMAL_STRATEGY,25-50,Q4,8,12675869.75,92119.5,11514.9375,9544.625,21294.193593025,113413.693593025,72.67311972813542
A,2023,2023-07,BUY,NORMAL_STRATEGY,5-10,Q4,1,913806.9,5343.9,5343.9,5343.9,1535.10421131,6879.00421131,58.47953216374269
A,2023,2023-07,BUY,NORMAL_STRATEGY,10-25,Q4,4,7230168.540376854,45487.2,11371.8,10407.15,12145.960130979078,57633.16013097908,62.91305623925206
A,2023,2023-07,BUY,NORMAL_STRATEGY,25-50,Q4,9,15723058.0,105577.25,11730.805555555555,8015.75,26413.165134199997,131990.41513419998,67.1480382505744
A,2023,2023-07,SELL,NORMAL_STRATEGY,5-10,Q2,1,172320.5038667679,1013.65,1013.65,1013.65,289.4812144457834,1303.1312144457834,58.823528091800284
A,2023,2023-07,SELL,NORMAL_STRATEGY,10-25,Q2,1,180744.0,886.0,886.0,886.0,303.6318456,1189.6318456,49.01960784313725
A,2023,2023-07,SELL,NORMAL_STRATEGY,10-25,Q4,4,4674108.672743225,29422.1,7355.525,7019.7,7852.035159341343,37274.13515934134,62.9469746212217
A,2023,2023-07,SELL,NORMAL_STRATEGY,25-50,Q2,3,497889.5,3685.5,1228.5,1306.0,836.4045710500001,4521.9045710499995,74.02244875619992
A,2023,2023-07,SELL,NORMAL_STRATEGY,25-50,Q4,7,13252699.25,92161.5,13165.92857142857,6836.75,22263.209470075,114424.70947007499,69.541682235036
A,2023,2023-08,BUY,NORMAL_STRATEGY,10-25,Q2,1,59947.75792751312,409.1,409.1,409.1,100.70623854242929,509.8062385424293,68.24275238027592
A,2023,2023-08,BUY,NORMAL_STRATEGY,10-25,Q3,1,405858.40766448976,2009.2,2009.2,2009.2,681.8015390355763,2691.0015390355766,49.50494956016635
A,2023,2023-08,BUY,NORMAL_STRATEGY,10-25,Q4,1,780590.0282890318,5294.7,5294.7,5294.7,1311.3131885227444,6606.013188522744,67.82945987159745
A,2023,2023-08,BUY,NORMAL_STRATEGY,25-50,Q1,2,89810.75,609.25,304.625,304.625,150.87307892500002,760.123078925,67.8370907714277
A,2023,2023-08,BUY,NORMAL_STRATEGY,25-50,Q2,1,66472.25,588.25,588.25,588.25,111.666732775,699.916732775,88.49557522123894
A,2023,2023-08,BUY,NORMAL_STRATEGY,25-50,Q3,9,3777821.25,28122.0,3124.6666666666665,2788.0,6346.3619178750005,34468.361917875,74.43973163102939
A,2023,2023-08,BUY,NORMAL_STRATEGY,25-50,Q4,6,6272834.0,48468.0,8078.0,7504.25,10537.7338366,59005.733836600004,77.26651143645759
A,2023,2023-08,BUY,NORMAL_STRATEGY,50-100,Q1,1,37595.0,182.5,182.5,182.5,63.1558405,245.6558405,48.543689320388346
A,2023,2023-08,BUY,NORMAL_STRATEGY,50-100,Q2,1,151782.5,696.25,696.25,696.25,254.97942175,951.22942175,45.87155963302752
A,2023,2023-08,BUY,NORMAL_STRATEGY,50-100,Q4,1,1204499.0,5628.5,5628.5,5628.5,2023.4378700999998,7651.9378701,46.72897196261682
