average_qualifying_candidates,average_selected_candidates,boundary_exits,commission,design,family,fills,fills_difference_vs_every_3,final_equity,final_equity_difference_vs_every_3,final_equity_difference_vs_official,gross_return,maximum_drawdown,median_qualifying_candidates,net_return,net_return_difference_vs_every_3,net_return_difference_vs_official,non_fill_reasons,non_fills,non_fills_difference_vs_every_3,rebalance_events,scenario,slippage,slippage_difference_vs_every_3,total_fees,total_fees_difference_vs_every_3,trade_count,trade_count_difference_vs_every_3,turnover,turnover_difference_vs_every_3,unique_symbols_traded,valuation_complete,vat,volatility
5.449664429530201,5.449664429530201,2,1144558.724971844190626680528,Design A,cost,1363,,2881303.363244797241866051837,,,-0.5894018801035329474163400004,-0.7575565538426281729301119431,5.0,-0.7118696636755202758133948163,,,"{'IOC_LIMIT_NOT_FILLED': 504, 'INSUFFICIENT_CASH': 136, 'DATA_UNAVAILABLE': 1}",641,,298,official,4765765.1700000000000000,,1224677.835719873283970548159,,1363,,72.90182961604103125010704,,18,True,80119.11074802909334386763696,0.08539205721260267
5.449664429530201,5.093959731543624,2,1147700.887576130511829907710,Design C,cost,1299,,2794643.518950851306832598751,,,-0.5977316531342689045509400006,-0.7564510732109275061942207070,5.0,-0.7205356481049148693167401249,,,"{'IOC_LIMIT_NOT_FILLED': 473, 'INSUFFICIENT_CASH': 133, 'DATA_UNAVAILABLE': 1}",607,,298,official,4781310.9400000000000000,,1228039.949706459647658001243,,1299,,73.1019673615369752757903,,18,True,80339.06213032913582809353970,0.08605493410484825
5.449664429530201,5.449664429530201,2,0E-16,Design A,cost,1858,,4832604.2234132280941691,,1951300.860168430852303048163,-0.51673957765867719058309,-0.6185319475682735729285,5.0,-0.51673957765867719058309,,0.1951300860168430852303048163,"{'INSUFFICIENT_CASH': 137, 'DATA_UNAVAILABLE': 1}",138,,298,zero_transaction_cost,0E-16,,0E-16,,1858,,125.24715097928917450078797,,19,True,0E-16,0.10815911017813758
5.449664429530201,5.093959731543624,2,0E-16,Design C,cost,1764,,4880299.3862302294462509,,2085655.867279378139418301249,-0.51197006137697705537491,-0.612476431890535386304,5.0,-0.51197006137697705537491,,0.2085655867279378139418301249,"{'INSUFFICIENT_CASH': 132, 'DATA_UNAVAILABLE': 1}",133,,298,zero_transaction_cost,0E-16,,0E-16,,1764,,126.18346248125836892561351,,19,True,0E-16,0.11017245920205095
5.449664429530201,5.449664429530201,2,1659900.718284935377473140282,Design A,cost,1854,,3446053.294282493803706539898,,564749.931037696561840488061,-0.4777852937152625342397199994,-0.7076954581110901748567425072,5.0,-0.6553946705717506196293460102,,0.0564749931037696561840488061,"{'INSUFFICIENT_CASH': 137, 'DATA_UNAVAILABLE': 1}",138,,298,fee_only,0E-16,,1776093.768564880853896260108,,1854,,105.72616040031435525306626,,19,True,116193.0502799454764231198197,0.09263626199954464
5.449664429530201,5.093959731543624,2,1670244.622945624128310079737,Design C,cost,1757,,3453783.830398731071244114690,,659140.311447879764411515939,-0.4759054423049451111464100002,-0.7062424781095159755416320285,5.0,-0.654621616960126892875588531,,0.0659140311447879764411515939,"{'INSUFFICIENT_CASH': 137, 'DATA_UNAVAILABLE': 1}",138,,298,fee_only,0E-16,,1787161.746551817817291785308,,1757,,106.38500783093147314076941,,19,True,116917.1236061936889817055815,0.09392316375475432
5.449664429530201,5.449664429530201,2,0E-16,Design A,cost,1360,,3654505.2149652654066790,,773201.851720468164812948163,-0.6345494785034734593321,-0.7122625104159112661117126598,5.0,-0.6345494785034734593321,,0.0773201851720468164812948163,"{'IOC_LIMIT_NOT_FILLED': 503, 'INSUFFICIENT_CASH': 139, 'DATA_UNAVAILABLE': 1}",643,,298,slippage_only,5215262.5800000000000000,,0E-16,,1360,,79.90016286671297116288064,,18,True,0E-16,0.09238305051962535
5.449664429530201,5.093959731543624,2,0E-16,Design C,cost,1297,,3558674.5986476882568926,,764031.079696836950060001249,-0.64413254013523117431074,-0.7096475904000572450295113149,5.0,-0.64413254013523117431074,,0.0764031079696836950060001249,"{'IOC_LIMIT_NOT_FILLED': 473, 'INSUFFICIENT_CASH': 136, 'DATA_UNAVAILABLE': 1}",610,,298,slippage_only,5236296.6500000000000000,,0E-16,,1297,,80.17818184572551769851928,,18,True,0E-16,0.09326893893174588
5.40625,5.40625,2,1648913.843211515817873960567,Design A,frequency,3791,2428,1492458.326455284723910562197,-1388845.036789512517955489640,,-0.6743203861308393350964299995,-0.8700082078128434960242095836,5.0,-0.8507541673544715276089437803,-0.1388845036789512517955489640,,"{'IOC_LIMIT_NOT_FILLED': 1287, 'INSUFFICIENT_CASH': 389, 'DATA_UNAVAILABLE': 3}",1679,1038,896,every_1_observed_row,6754907.0600000000000000,1989141.8900000000000000,1764337.812236321925125137808,539659.976516448641154589649,3791,2428,105.02635944022393744420131,32.12452982418290619409427,18,True,115423.9690248061072511772395,0.06668386758093836
5.40625,5.041294642857143,2,1656664.176957214504651371650,Design C,frequency,3601,2302,1602448.326071630202555232330,-1192195.192879221104277366421,,-0.6624921004584150277467800024,-0.8653713177472950035095186062,5.0,-0.839755167392836979744476767,-0.1192195192879221104277366421,,"{'IOC_LIMIT_NOT_FILLED': 1182, 'INSUFFICIENT_CASH': 364, 'DATA_UNAVAILABLE': 3}",1549,942,896,every_1_observed_row,6790022.0800000000000000,2008711.1400000000000000,1772630.669344219519976967646,544590.719637759872318966403,3601,2302,105.5200112711601595319345,32.4180439096231842561442,18,True,115966.4923870050153255960156,0.0673018454901238
5.449664429530201,5.449664429530201,2,1144558.724971844190626680528,Design A,frequency,1363,,2881303.363244797241866051837,,,-0.5894018801035329474163400004,-0.7575565538426281729301119431,5.0,-0.7118696636755202758133948163,,,"{'IOC_LIMIT_NOT_FILLED': 504, 'INSUFFICIENT_CASH': 136, 'DATA_UNAVAILABLE': 1}",641,,298,every_3_observed_rows,4765765.1700000000000000,,1224677.835719873283970548159,,1363,,72.90182961604103125010704,,18,True,80119.11074802909334386763696,0.08539205721260267
5.449664429530201,5.093959731543624,2,1147700.887576130511829907710,Design C,frequency,1299,,2794643.518950851306832598751,,,-0.5977316531342689045509400006,-0.7564510732109275061942207070,5.0,-0.7205356481049148693167401249,,,"{'IOC_LIMIT_NOT_FILLED': 473, 'INSUFFICIENT_CASH': 133, 'DATA_UNAVAILABLE': 1}",607,,298,every_3_observed_rows,4781310.9400000000000000,,1228039.949706459647658001243,,1299,,73.1019673615369752757903,,18,True,80339.06213032913582809353970,0.08605493410484825
5.363128491620111,5.363128491620111,2,990104.110663368723036457249,Design A,frequency,884,-479,5494505.404382897326493090738,2613202.041138100084627038901,,-0.3446083197207298139857900006,-0.5973970501854036124986530605,5.0,-0.4505494595617102673506909262,0.2613202041138100084627038901,,"{'IOC_LIMIT_NOT_FILLED': 272, 'INSUFFICIENT_CASH': 84}",356,-285,179,every_5_observed_rows_weekly_style,3980474.5900000000000000,-785290.5800000000000000,1059411.398409804533649009256,-165266.437310068750321538903,884,-479,63.06395609320819891951957,-9.83787352283283233058747,18,True,69307.28774643581061255200743,0.10372303531825305
5.363128491620111,4.977653631284916,2,989153.612406520518019746870,Design C,frequency,835,-464,5385962.613224693116561270846,2591319.094273841809728672095,,-0.3555643021500329929157600005,-0.5932122267476949601464505293,5.0,-0.4614037386775306883438729154,0.2591319094273841809728672095,,"{'IOC_LIMIT_NOT_FILLED': 257, 'INSUFFICIENT_CASH': 79}",336,-271,179,every_5_observed_rows_weekly_style,3991659.4800000000000000,-789651.4600000000000000,1058394.365274976954281129149,-169645.584431482693376872094,835,-464,63.0034148029630903197291,-10.0985525585738849560612,18,True,69240.75286845643626138228090,0.1051442648270986
5.438202247191011,5.438202247191011,1,683106.681460265130219454550,Design A,frequency,448,-915,6717146.402022133196207183635,3835843.038777335954341131798,,-0.2551929448815383114457999996,-0.4779981025054038004340834685,5.0,-0.3282853597977866803792816365,0.3835843038777335954341131798,,"{'IOC_LIMIT_NOT_FILLED': 182, 'INSUFFICIENT_CASH': 44}",226,-415,89,every_10_observed_rows,2762298.0400000000000000,-2003467.1300000000000000,730924.1491624836893348163686,-493753.6865573895946357317904,448,-915,43.5099797108449127528315,-29.39184990519611849727554,18,True,47817.46770221855911536181850,0.11808375441291138
5.438202247191011,5.033707865168539,1,700062.415894942631375561315,Design C,frequency,427,-872,6812744.645766662037503649394,4018101.126815810730671050643,,-0.2438188569225749346924499999,-0.4701010233252297863720682298,5.0,-0.3187255354233337962496350606,0.4018101126815810730671050643,,"{'IOC_LIMIT_NOT_FILLED': 173, 'INSUFFICIENT_CASH': 40}",213,-394,89,every_10_observed_rows,2846310.9600000000000000,-1934999.9800000000000000,749066.7850075886155718506070,-478973.1646988710320861506360,427,-872,44.58996279585621855895295,-28.51200456568075671683735,18,True,49004.36911264598419628929205,0.12057142934295395
