symbol,feature,horizon_days,sample_size,pearson,spearman,true_mean,false_mean
BDMS,momentum_20,1,858,-0.062316567634861604,-0.04596470972509802,,
BDMS,momentum_20,3,858,-0.11146302725113642,-0.07286252329403477,,
BDMS,momentum_20,5,858,-0.11942011692194737,-0.10058563552837109,,
BDMS,momentum_20,10,858,-0.1343617211789325,-0.08161902602579967,,
BDMS,momentum_20,20,858,-0.18314583911209886,-0.11872868903865078,,
BDMS,momentum_60,1,818,-0.06383832729584066,-0.03833571605341739,,
BDMS,momentum_60,3,818,-0.11615809811765429,-0.08201022626196881,,
BDMS,momentum_60,5,818,-0.14801415320729513,-0.12413583840981036,,
BDMS,momentum_60,10,818,-0.19442557458231238,-0.15138452415129605,,
BDMS,momentum_60,20,818,-0.30016724585695265,-0.25609555726279,,
BDMS,momentum_120,1,758,-0.08004960166106084,-0.05198939424684893,,
BDMS,momentum_120,3,758,-0.14108037500944912,-0.11437650404867925,,
BDMS,momentum_120,5,758,-0.16399058320912935,-0.14409568267519582,,
BDMS,momentum_120,10,758,-0.20590410710952764,-0.15616450741719742,,
BDMS,momentum_120,20,758,-0.21104060016972637,-0.11537745098798072,,
BDMS,close_gt_sma20,1,878,-0.01909924283845298,-0.034895502761154995,-0.0006688890391938856,-0.00012667088226099753
BDMS,close_gt_sma20,3,878,-0.04528018372905064,-0.039016245834597424,-0.0023948806146080292,-0.00021142353527332967
BDMS,close_gt_sma20,5,878,-0.05474230320109367,-0.053116201093418164,-0.0039018771283796387,-0.0006062996902453871
BDMS,close_gt_sma20,10,878,-0.07220192060928869,-0.05958427663408447,-0.007486699781481662,-0.0018081100462199896
BDMS,close_gt_sma20,20,878,-0.12153732211900606,-0.10663141023156938,-0.015882865815435826,-0.002887355414609255
BDMS,close_gt_sma50,1,878,-0.026501246126707855,-0.022085088736873003,-0.000829594206347046,-6.406193125228278e-05
BDMS,close_gt_sma50,3,878,-0.06843629320978917,-0.0390627870601398,-0.0032171967260334507,0.0001406607709246459
BDMS,close_gt_sma50,5,878,-0.07017562036948409,-0.05039961712625498,-0.004653124948037442,-0.0003544558059398211
