symbol,side,status,reason,signal_date,execution_date,quantity,requested_price,executed_price,commission,vat,total_fees,slippage,cash_before,cash_after,position_before,position_after
HMPRO,BUY,FILLED,ENTRY_CONFIRMED,2023-03-29 00:00:00,2023-03-30 00:00:00,68849,14.499999618530272,14.499999618530272,1567.34744376581939417696,109.7143210636073575923872,1677.0617648294267517693472,6884.900000000000000,5738946.025003772318473068245,4738958.489502752194793298898,0,68849
TOP,BUY,FILLED,ENTRY_CONFIRMED,2023-03-29 00:00:00,2023-03-30 00:00:00,18747,53.25,53.25,1567.2960675,109.710724725,1677.006792225,4686.75,4738958.489502752194793298898,3739003.732710527194793298898,0,18747
COM7,SELL,FILLED,EXIT_CONFIRMED,2023-03-31 00:00:00,2023-04-03 00:00:00,31692,30.25,30.25,1505.1323100,105.359261700,1610.491571700,7923.00,3739003.732710527194793298898,4696076.241138827194793298898,31692,0
LH,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
MTC,BUY,FILLED,ENTRY_CONFIRMED,2023-04-03 00:00:00,2023-04-04 00:00:00,28523,35.00,35.00,1567.3388500,109.713719500,1677.052569500,7130.75,4696076.241138827194793298898,3696094.188569327194793298898,0,28523
LH,BUY,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
CENTEL,SELL,FILLED,EXIT_CONFIRMED,2023-04-10 00:00:00,2023-04-11 00:00:00,17362,54.75,54.75,1492.3941150,104.467588050,1596.861703050,4340.50,3696094.188569327194793298898,4645066.826866277194793298898,17362,0
LH,BUY,FILLED,ENTRY_CONFIRMED,2023-04-10 00:00:00,2023-04-11 00:00:00,101352,9.850000190734863,9.850000190734863,1567.35803435023494059832,109.7150624045164458418824,1677.0730967547513864402024,5067.600000000000000,4645066.826866277194793298898,3645072.534438162608630858696,0,101352
KTB,BUY,FILLED,ENTRY_CONFIRMED,2023-04-12 00:00:00,2023-04-17 00:00:00,57706,17.300000762939453,17.300000762939453,1567.35273512110899746426,109.7146914584776298224982,1677.0674265795866272867582,5770.600000000000000,3645072.534438162608630858696,2645081.622985398947185571938,0,57706
RATCH,BUY,FILLED,ENTRY_CONFIRMED,2023-04-12 00:00:00,2023-04-17 00:00:00,25273,39.50,39.50,1567.3050950,109.711356650,1677.016451650,6318.25,2645081.622985398947185571938,1645121.106533748947185571938,0,25273
HMPRO,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
HMPRO,SELL,FILLED,EXIT_CONFIRMED,2023-04-18 00:00:00,2023-04-19 00:00:00,68849,14.000000381469728,14.000000381469728,1513.30106123418060582304,105.9310742863926424076128,1619.2321355205732482306528,6884.900000000000000,1645121.106533748947185571938,2607387.900662037677009341285,68849,0
BGRIM,SELL,FILLED,EXIT_CONFIRMED,2023-04-19 00:00:00,2023-04-20 00:00:00,24498,39.00,39.00,1500.0125400,105.000877800,1605.013417800,6124.50,2607387.900662037677009341285,3561204.887244237677009341285,24498,0
KTB,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
TOP,SELL,FILLED,EXIT_CONFIRMED,2023-04-19 00:00:00,2023-04-20 00:00:00,18747,49.50,49.50,1456.9231050,101.984617350,1558.907722350,4686.75,3561204.887244237677009341285,4487622.479521887677009341285,18747,0
BDMS,SELL,FILLED,EXIT_CONFIRMED,2023-04-20 00:00:00,2023-04-21 00:00:00,33557,29.00,29.00,1527.8502100,106.949514700,1634.799724700,8389.25,4487622.479521887677009341285,5459140.679797187677009341285,33557,0
RATCH,SELL,FILLED,EXIT_CONFIRMED,2023-04-21 00:00:00,2023-04-24 00:00:00,25273,38.00,38.00,1507.7871800,105.545102600,1613.332282600,6318.25,5459140.679797187677009341285,6417901.347514587677009341285,25273,0
LH,SELL,NON_FILL,IOC_LIMIT_NOT_FILLED,,,,,,,,,,,,,
