signal_date,execution_date,selected_symbols
2023-11-23 00:00:00,2023-11-24 00:00:00,MTC|GLOBAL|PTTGC|BGRIM|TOP|SCGP|LH|IVL|RATCH
2023-11-28 00:00:00,2023-11-29 00:00:00,MTC|BGRIM|GLOBAL|PTTGC|TOP|IVL|SCGP|RATCH|LH|HMPRO
2023-12-01 00:00:00,2023-12-04 00:00:00,MTC|SCGP|BGRIM|TOP|PTTGC|LH
2023-12-07 00:00:00,2023-12-08 00:00:00,BGRIM|PTTGC|TOP|MTC|SCGP|HMPRO|IVL
2023-12-13 00:00:00,2023-12-14 00:00:00,
2023-12-18 00:00:00,2023-12-19 00:00:00,BGRIM|TOP|MTC|IVL|PTTGC|CENTEL|LH
2023-12-21 00:00:00,2023-12-22 00:00:00,TOP|BGRIM|IVL|MTC|LH
2023-12-26 00:00:00,2023-12-27 00:00:00,BGRIM|IVL|MTC|BDMS|LH|TOP|CENTEL|COM7
2024-01-03 00:00:00,2024-01-04 00:00:00,COM7|IVL|CENTEL|LH|BDMS|BGRIM|TOP|MTC|HMPRO
2024-01-08 00:00:00,2024-01-09 00:00:00,COM7|CENTEL|IVL|LH|BDMS|HMPRO|MTC|KTB|RATCH|OSP
2024-01-11 00:00:00,2024-01-12 00:00:00,BDMS|MTC|LH|RATCH|OSP
2024-01-16 00:00:00,2024-01-17 00:00:00,BDMS|OSP
2024-01-19 00:00:00,2024-01-22 00:00:00,
2024-01-24 00:00:00,2024-01-25 00:00:00,BDMS
2024-01-29 00:00:00,2024-01-30 00:00:00,TOP
2024-02-01 00:00:00,2024-02-02 00:00:00,TOP
2024-02-06 00:00:00,2024-02-07 00:00:00,BGRIM|TOP|BDMS
2024-02-09 00:00:00,2024-02-12 00:00:00,TOP|BGRIM
2024-02-14 00:00:00,2024-02-15 00:00:00,TOP|BGRIM|PTTGC|GLOBAL|BDMS|MTC|COM7
2024-02-19 00:00:00,2024-02-20 00:00:00,TOP|BGRIM|PTTGC|MTC|GLOBAL|HMPRO|BDMS|COM7
2024-02-22 00:00:00,2024-02-23 00:00:00,PTTGC|MTC|GLOBAL|TOP|BDMS|COM7|HMPRO|KTB|CENTEL|IVL
2024-02-28 00:00:00,2024-02-29 00:00:00,GLOBAL|PTTGC|MTC|BDMS|HMPRO|TOP|CENTEL
2024-03-04 00:00:00,2024-03-05 00:00:00,GLOBAL|PTTGC|TOP|HMPRO|MTC|KTB
2024-03-07 00:00:00,2024-03-08 00:00:00,GLOBAL|BDMS|MTC|HMPRO|CENTEL
2024-03-12 00:00:00,2024-03-13 00:00:00,PTTGC|BDMS|GLOBAL|MTC|HMPRO|CENTEL|BGRIM
2024-03-15 00:00:00,2024-03-18 00:00:00,PTTGC|GLOBAL|MTC|KTB|BDMS|CENTEL|IVL|TOP|HMPRO
2024-03-20 00:00:00,2024-03-21 00:00:00,GLOBAL|MTC|PTTGC|IVL|BGRIM|TOP|SCGP|KTB
2024-03-25 00:00:00,2024-03-26 00:00:00,CENTEL|KTB|PTTGC|BGRIM|TOP|IVL
2024-03-28 00:00:00,2024-03-29 00:00:00,TOP|KTB|SCGP|CENTEL|MTC|OSP
2024-04-02 00:00:00,2024-04-03 00:00:00,SCGP|OSP|PTTGC|IVL|LH|KTB|TOP|CENTEL|MTC
2024-04-05 00:00:00,2024-04-09 00:00:00,SCGP|PTTGC|IVL|KTB|LH|GLOBAL
2024-04-11 00:00:00,2024-04-17 00:00:00,KTB|SCGP|LH|IVL|PTTGC|CENTEL|TOP
2024-04-19 00:00:00,2024-04-22 00:00:00,LH|SCGP|IVL|PTTGC
2024-04-24 00:00:00,2024-04-25 00:00:00,SCGP|OSP|CENTEL
2024-04-29 00:00:00,2024-04-30 00:00:00,SCGP|LH|RATCH|OSP|BDMS|CENTEL
2024-05-03 00:00:00,2024-05-07 00:00:00,SCGP|OSP|RATCH|CENTEL|BDMS|COM7
2024-05-09 00:00:00,2024-05-10 00:00:00,BDMS|OSP|KTB|MTC|COM7
2024-05-14 00:00:00,2024-05-15 00:00:00,OSP|BDMS|CENTEL|RATCH|KTB|MTC|COM7
2024-05-17 00:00:00,2024-05-20 00:00:00,MTC|OSP|SCGP|BDMS|KTB|RATCH|GLOBAL|COM7
2024-05-23 00:00:00,2024-05-24 00:00:00,COM7|OSP|SCGP|GLOBAL|RATCH|IVL|KTB
2024-05-28 00:00:00,2024-05-29 00:00:00,SCGP|KTB|GLOBAL
2024-05-31 00:00:00,2024-06-04 00:00:00,OSP|GLOBAL|SCGP|KTB|RATCH
2024-06-06 00:00:00,2024-06-07 00:00:00,OSP|SCGP|KTB
2024-06-11 00:00:00,2024-06-12 00:00:00,OSP|SCGP|KTB
2024-06-14 00:00:00,2024-06-17 00:00:00,KTB
2024-06-19 00:00:00,2024-06-20 00:00:00,KTB|SCGP
2024-06-24 00:00:00,2024-06-25 00:00:00,OSP|TOP|SCGP
2024-06-27 00:00:00,2024-06-28 00:00:00,OSP|TOP
2024-07-02 00:00:00,2024-07-03 00:00:00,TOP|OSP
2024-07-05 00:00:00,2024-07-08 00:00:00,TOP|OSP
2024-07-10 00:00:00,2024-07-11 00:00:00,TOP|RATCH|HMPRO|OSP
2024-07-15 00:00:00,2024-07-16 00:00:00,BGRIM|RATCH|TOP|OSP|CENTEL|HMPRO|GLOBAL|IVL|PTTGC|LH
2024-07-18 00:00:00,2024-07-19 00:00:00,RATCH|OSP|CENTEL|BGRIM|HMPRO|BDMS|GLOBAL|KTB
2024-07-24 00:00:00,2024-07-25 00:00:00,CENTEL|KTB|RATCH|BGRIM|OSP|GLOBAL
2024-07-30 00:00:00,2024-07-31 00:00:00,CENTEL|KTB|GLOBAL|BGRIM
2024-08-02 00:00:00,2024-08-05 00:00:00,BGRIM|KTB|IVL
2024-08-07 00:00:00,2024-08-08 00:00:00,BGRIM|BDMS
2024-08-13 00:00:00,2024-08-14 00:00:00,BDMS|OSP|KTB
2024-08-16 00:00:00,2024-08-19 00:00:00,RATCH|KTB|MTC
2024-08-21 00:00:00,2024-08-22 00:00:00,MTC|RATCH|KTB|BDMS|IVL
2024-08-26 00:00:00,2024-08-27 00:00:00,MTC|RATCH|HMPRO|BDMS|KTB|IVL|TOP
2024-08-29 00:00:00,2024-08-30 00:00:00,RATCH|MTC|TOP|BDMS|KTB|HMPRO
2024-09-03 00:00:00,2024-09-04 00:00:00,RATCH|TOP|HMPRO|KTB|BDMS|MTC|GLOBAL|LH|PTTGC
2024-09-06 00:00:00,2024-09-09 00:00:00,HMPRO|GLOBAL|PTTGC|IVL|MTC|RATCH|TOP|KTB|LH|SCGP|BDMS|CENTEL|BGRIM
2024-09-11 00:00:00,2024-09-12 00:00:00,HMPRO|IVL|SCGP|MTC|GLOBAL|LH|CENTEL|BGRIM|PTTGC|KTB|RATCH|BDMS|OSP
2024-09-16 00:00:00,2024-09-17 00:00:00,IVL|HMPRO|CENTEL|PTTGC|SCGP|BGRIM|MTC|KTB|LH|BDMS|GLOBAL|OSP|RATCH
2024-09-19 00:00:00,2024-09-20 00:00:00,IVL|HMPRO|MTC|SCGP|PTTGC|BGRIM|KTB|CENTEL|LH|GLOBAL|BDMS|OSP|RATCH
2024-09-24 00:00:00,2024-09-25 00:00:00,IVL|PTTGC|SCGP|MTC|LH|KTB|BDMS|CENTEL|HMPRO|BGRIM|RATCH|OSP
2024-09-27 00:00:00,2024-09-30 00:00:00,IVL|PTTGC|SCGP|HMPRO|BGRIM|LH|KTB|CENTEL|BDMS|RATCH|GLOBAL
2024-10-02 00:00:00,2024-10-03 00:00:00,IVL|PTTGC|SCGP|KTB|CENTEL|LH|BGRIM|GLOBAL|BDMS
2024-10-07 00:00:00,2024-10-08 00:00:00,IVL|GLOBAL|SCGP|PTTGC|KTB|RATCH|CENTEL
2024-10-10 00:00:00,2024-10-11 00:00:00,IVL|GLOBAL|RATCH|MTC|KTB|BGRIM
2024-10-16 00:00:00,2024-10-17 00:00:00,KTB|RATCH|GLOBAL
2024-10-21 00:00:00,2024-10-22 00:00:00,RATCH|GLOBAL|KTB|BGRIM|IVL
2024-10-25 00:00:00,2024-10-28 00:00:00,MTC|IVL
2024-10-30 00:00:00,2024-10-31 00:00:00,IVL
2024-11-04 00:00:00,2024-11-05 00:00:00,IVL
2024-11-07 00:00:00,2024-11-08 00:00:00,IVL
2024-11-12 00:00:00,2024-11-13 00:00:00,IVL
2024-11-15 00:00:00,2024-11-18 00:00:00,
2024-11-20 00:00:00,2024-11-21 00:00:00,CENTEL
2024-11-25 00:00:00,2024-11-26 00:00:00,CENTEL|HMPRO|OSP
2024-11-28 00:00:00,2024-11-29 00:00:00,CENTEL|OSP
2024-12-03 00:00:00,2024-12-04 00:00:00,CENTEL|OSP|HMPRO|RATCH
2024-12-09 00:00:00,2024-12-11 00:00:00,RATCH|OSP|MTC|KTB|BGRIM
