signal_date,execution_date,selected_symbols
2026-06-04 00:00:00,2026-06-05 00:00:00,COM7|KKP|KTB|GULF|CENTEL|TIDLOR|OSP|RATCH|LH
2026-06-09 00:00:00,2026-06-10 00:00:00,COM7|OSP|GULF|CENTEL|KTB|KKP|SCGP
2026-06-12 00:00:00,2026-06-15 00:00:00,CENTEL|COM7|KKP|GULF|SCGP|OSP|KTB
2026-06-17 00:00:00,2026-06-18 00:00:00,TIDLOR|CENTEL|KKP|COM7|MTC|GULF|SCGP|HMPRO|OSP|RATCH|KTB|LH|BDMS
2026-06-22 00:00:00,2026-06-23 00:00:00,KKP|COM7|SCGP|CENTEL|OSP|MTC|TIDLOR|KTB|HMPRO|BDMS
2026-06-25 00:00:00,2026-06-26 00:00:00,OSP|SCGP|KKP|CENTEL|COM7|TIDLOR|MTC|HMPRO|KTB|LH|BDMS
2026-06-30 00:00:00,2026-07-01 00:00:00,SCGP|OSP|KKP|CENTEL|MTC|HMPRO|KTB|TIDLOR|BDMS|TOP|COM7|LH|RATCH
2026-07-03 00:00:00,2026-07-06 00:00:00,KKP|MTC|KTB|OSP|RATCH|SCGP|BDMS|TOP|HMPRO|TIDLOR|LH|COM7
2026-07-08 00:00:00,2026-07-09 00:00:00,KKP|RATCH|MTC|KTB|TOP|OSP|BDMS|HMPRO|COM7|PTTGC|IVL
2026-07-13 00:00:00,2026-07-14 00:00:00,RATCH|KKP|KTB|SCGP|TOP|OSP|MTC|HMPRO|COM7|PTTGC|TIDLOR|BDMS|IVL|LH
2026-07-16 00:00:00,2026-07-17 00:00:00,TOP|RATCH|SCGP|KKP|PTTGC|IVL|KTB|MTC|OSP|COM7|HMPRO|BDMS|LH|TIDLOR
2026-07-21 00:00:00,2026-07-22 00:00:00,TOP|RATCH|KKP|KTB|MTC|IVL|PTTGC|GULF|SCGP|HMPRO|COM7|BDMS|LH|TIDLOR|OSP
2026-07-24 00:00:00,2026-07-27 00:00:00,TOP|RATCH|PTTGC|KTB|KKP|IVL|COM7|GULF|SCGP|MTC
2026-07-29 00:00:00,2026-07-30 00:00:00,TOP|RATCH|KKP|PTTGC|KTB|MTC|COM7|IVL|GULF|HMPRO|SCGP|LH
2026-08-03 00:00:00,2026-08-04 00:00:00,TOP|KTB|KKP|RATCH|COM7|SCGP|HMPRO|GULF|MTC|OSP|LH
2026-08-06 00:00:00,2026-08-07 00:00:00,TOP|SCGP|KTB|RATCH|KKP|MTC|GULF|HMPRO|BDMS|OSP|TIDLOR
2026-08-11 00:00:00,2026-08-12 00:00:00,TOP|PTTGC|SCGP|KTB|MTC|RATCH|BDMS|HMPRO
2026-08-14 00:00:00,2026-08-17 00:00:00,TOP|KTB|PTTGC|OSP|HMPRO
2026-08-19 00:00:00,2026-08-20 00:00:00,
2026-08-24 00:00:00,2026-08-25 00:00:00,PTTGC|BDMS
2026-08-27 00:00:00,2026-08-28 00:00:00,PTTGC|KKP|TIDLOR|THAI|IVL
2026-09-01 00:00:00,2026-09-02 00:00:00,PTTGC|IVL|KKP|BDMS
