design,round_trip_cost_drag_fraction,median_completed_trade_cost,total_fees,slippage
A,0.5990443005719873,5862.274458579365,1224677.835719873283970548159,4765765.1700000000000000
C,0.600935088970646,6401.282887452053,1228039.949706459647658001243,4781310.9400000000000000
