signal_date,execution_date,symbol,side,quantity,order_type,validity,requested_price,executed_price,status,reason,order_value,commission,vat,total_fees,slippage,membership_end_date
2023-09-14 00:00:00,2023-09-15 00:00:00,MTC,BUY,47328,LIMIT,IOC,41.00,41.00,FILLED,,1940448.00,3046.5033600,213.255235200,3259.758595200,11832.00,
2023-09-19 00:00:00,2023-09-20 00:00:00,GLOBAL,SELL,97422,LIMIT,IOC,15.078570747375488,15.078570747375488,FILLED,,1468984.519350814791936,2306.30569538077922333952,161.4413986766545456337664,2467.7470940574337689732864,9742.200000000000000,
2023-09-19 00:00:00,2023-09-20 00:00:00,MTC,SELL,96854,LIMIT,IOC,37.75,37.75,FILLED,,3656238.50,5740.2944450,401.820611150,6142.115056150,24213.50,
2023-09-19 00:00:00,2023-09-20 00:00:00,SCGP,SELL,33177,LIMIT,IOC,38.50,38.50,FILLED,,1277314.50,2005.3837650,140.376863550,2145.760628550,8294.25,
2023-09-19 00:00:00,2023-09-20 00:00:00,CENTEL,BUY,79340,LIMIT,IOC,48.25,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-09-19 00:00:00,2023-09-20 00:00:00,COM7,BUY,117790,LIMIT,IOC,32.50,32.50,FILLED,,3828175.00,6010.2347500,420.716432500,6430.951182500,29447.50,
2023-09-22 00:00:00,2023-09-25 00:00:00,COM7,SELL,41606,LIMIT,IOC,32.25,32.25,FILLED,,1341793.50,2106.6157950,147.463105650,2254.078900650,10401.50,
2023-09-22 00:00:00,2023-09-25 00:00:00,CENTEL,BUY,51710,LIMIT,IOC,48.25,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-09-22 00:00:00,2023-09-25 00:00:00,SCGP,BUY,60854,LIMIT,IOC,41.00,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-09-27 00:00:00,2023-09-28 00:00:00,COM7,SELL,76184,LIMIT,IOC,30.50,30.50,FILLED,,2323612.00,3648.0708400,255.364958800,3903.435798800,19046.00,
2023-09-27 00:00:00,2023-09-28 00:00:00,CENTEL,BUY,153545,LIMIT,IOC,48.25,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-10-02 00:00:00,2023-10-03 00:00:00,TOP,BUY,150348,LIMIT,IOC,49.25,49.25,FILLED,,7404639.00,11625.2832300,813.769826100,12439.053056100,37587.00,
2023-10-05 00:00:00,2023-10-06 00:00:00,TOP,SELL,150348,LIMIT,IOC,47.00,47.00,FILLED,,7066356.00,11094.1789200,776.592524400,11870.771444400,37587.00,
2023-10-10 00:00:00,2023-10-11 00:00:00,TOP,BUY,140853,LIMIT,IOC,50.00,50.00,FILLED,,7042650.00,11056.9605000,773.987235000,11830.947735000,35213.25,
2023-10-16 00:00:00,2023-10-17 00:00:00,TOP,SELL,140853,LIMIT,IOC,49.75,49.75,FILLED,,7007436.75,11001.6756975,770.117298825,11771.792996325,35213.25,
2023-10-16 00:00:00,2023-10-17 00:00:00,BDMS,BUY,127833,LIMIT,IOC,27.50,27.50,FILLED,,3515407.50,5519.1897750,386.343284250,5905.533059250,31958.25,
2023-10-16 00:00:00,2023-10-17 00:00:00,KTB,BUY,179358,LIMIT,IOC,19.60,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-10-19 00:00:00,2023-10-20 00:00:00,BDMS,SELL,127833,LIMIT,IOC,26.75,26.75,FILLED,,3419532.75,5368.6664175,375.806649225,5744.473066725,31958.25,
2023-10-19 00:00:00,2023-10-20 00:00:00,KTB,BUY,177288,LIMIT,IOC,19.499999618530277,19.499999618530277,FILLED,,3457115.932369995748776,5427.67201382089332557832,379.9370409674625327904824,5807.6090547883558583688024,17728.800000000000000,
2023-10-19 00:00:00,2023-10-20 00:00:00,TOP,BUY,67786,LIMIT,IOC,51.00,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-10-25 00:00:00,2023-10-26 00:00:00,KTB,SELL,2039,LIMIT,IOC,19.100000762939453,19.100000762939453,FILLED,,38944.901555633544667,61.14349544234466512719,4.2800446809641265589033,65.4235401233087916860933,203.900000000000000,
2023-10-25 00:00:00,2023-10-26 00:00:00,RATCH,BUY,102494,LIMIT,IOC,33.00,33.00,FILLED,,3382302.00,5310.2141400,371.714989800,5681.929129800,25623.50,
