symbol,feature,observations,mean,return_correlation,forward_5d_mean,positive_forward_5d_rate,classification
BDMS,momentum_20,878,-0.00805299679261435,0.20194394684770578,-0.001852350394097576,0.38496583143507973,DIAGNOSTIC_ONLY
BDMS,momentum_60,838,-0.026007376725216233,0.1251333688068306,-0.0019362116292345017,0.37828162291169454,DIAGNOSTIC_ONLY
BDMS,momentum_120,778,-0.06153974741553405,0.09253053018111028,-0.0015955521095638839,0.38431876606683807,DIAGNOSTIC_ONLY
BDMS,close_gt_sma20,897,0.4057971014492754,0.26000913412729887,-0.0018274904783048384,0.3835005574136009,DIAGNOSTIC_ONLY
BDMS,close_gt_sma50,897,0.3779264214046823,0.15868729046287036,-0.0018274904783048384,0.3835005574136009,DIAGNOSTIC_ONLY
BDMS,sma20_gt_sma50,897,0.3734671125975474,-0.028728595305299844,-0.0018274904783048384,0.3835005574136009,DIAGNOSTIC_ONLY
BDMS,volatility_20,878,0.013075442343315612,0.008411647674864622,-0.001852350394097576,0.38496583143507973,DIAGNOSTIC_ONLY
BDMS,volume_sma_20,879,45707982.81911263,0.01925898216514494,-0.001859765706385031,0.3845278725824801,DIAGNOSTIC_ONLY
BDMS,volume_ratio_20,879,1.0284950720649966,0.03608363622481229,-0.001859765706385031,0.3845278725824801,DIAGNOSTIC_ONLY
BGRIM,momentum_20,585,-0.041715817569204054,0.223888759402889,-0.0098577724736672,0.40683760683760684,DIAGNOSTIC_ONLY
BGRIM,momentum_60,545,-0.12206923473218038,0.11944764346303427,-0.010529530267171072,0.4036697247706422,DIAGNOSTIC_ONLY
BGRIM,momentum_120,485,-0.23293178079829002,0.033773548387622365,-0.010462861140845782,0.4041237113402062,DIAGNOSTIC_ONLY
BGRIM,close_gt_sma20,604,0.34271523178807944,0.2721911798129469,-0.009810981998157503,0.40397350993377484,DIAGNOSTIC_ONLY
BGRIM,close_gt_sma50,604,0.2682119205298013,0.1448016268938306,-0.009810981998157503,0.40397350993377484,DIAGNOSTIC_ONLY
BGRIM,sma20_gt_sma50,604,0.2814569536423841,-0.01725954254148992,-0.009810981998157503,0.40397350993377484,DIAGNOSTIC_ONLY
BGRIM,volatility_20,585,0.021880790781427167,0.0811694861955163,-0.0098577724736672,0.40683760683760684,DIAGNOSTIC_ONLY
BGRIM,volume_sma_20,586,13220852.482935153,0.07405571324703945,-0.00986218656622276,0.4061433447098976,DIAGNOSTIC_ONLY
BGRIM,volume_ratio_20,586,1.0189215567104508,-0.06408089595669633,-0.00986218656622276,0.4061433447098976,DIAGNOSTIC_ONLY
CENTEL,momentum_20,588,-0.009470869721868143,0.1869026995703156,-0.0019374772284943317,0.45918367346938777,DIAGNOSTIC_ONLY
CENTEL,momentum_60,548,-0.04759571556721756,0.15650176949858172,-0.002738219658248584,0.45072992700729925,DIAGNOSTIC_ONLY
CENTEL,momentum_120,488,-0.0991262350056894,0.13093358573790853,-0.0016484942988849514,0.4713114754098361,DIAGNOSTIC_ONLY
