fold,oos_period,d0_minus_a_net_return,turnover_reduction,transaction_cost_reduction,gross_difference,net_difference
1,"{""start"": ""2024-08-27"", ""end"": ""2025-02-19""}",0.0815771556862753233682513074,11.1006162697601034486882,916464.0527156999778345130716,0.06292923041470532558480000022,0.0815771556862753233682513074
2,"{""start"": ""2025-02-20"", ""end"": ""2025-08-22""}",0.1125169562183606044960058583,11.78974842307786860706345,883537.3737592851147300588963,0.09271135784243209302299996867,0.1125169562183606044960058583
3,"{""start"": ""2025-08-25"", ""end"": ""2026-02-17""}",0.067533712741902353913620582,7.63283002137470435733114,658458.4315290736584988058212,0.05471132158899498806373999994,0.067533712741902353913620582
4,"{""start"": ""2026-02-18"", ""end"": ""2026-08-11""}",-0.1700571786752844984459687595,7.51611454023053172113598,618084.6281613327023833633276,-0.1826834994914177686843050923,-0.1700571786752844984459687595
5,"{""start"": ""2026-08-12"", ""end"": ""2026-09-04""}",0.0120328136388592695443967534,1.7563570133343029837471,130702.0414670029558239675329,0.00908230949215897396200000011,0.0120328136388592695443967534
