symbol,daily_latest_observed,daily_probe_status,historical_boundary,intraday_status
TFG,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
THAI,1787245200,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TIDLOR,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TISCO,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TLI,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TOP,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TRUE,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TTB,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
TU,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
WHA,1789491600,OBSERVED,NOT_PROBED_PER_SYMBOL; PTT_BOUNDARY_OBSERVED_2023_12_01,RECENT_WINDOW_ONLY
