15m_accessible,15m_fields,15m_first,15m_last,15m_rows,1m_accessible,1m_fields,1m_first,1m_last,1m_rows,5m_accessible,5m_fields,5m_first,5m_last,5m_rows,symbol
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636800,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,GULF
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789463700,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789465140,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464300,1789637700,5,HMPRO
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789377300,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789530600,1789634340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789378500,1789634100,5,IVL
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,KBANK
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637100,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,KKP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789622100,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789628280,1789634340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789622700,1789634100,5,KTB
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789548300,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789613880,1789634340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789548600,1789634100,5,KTC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,LH
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,MINT
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789371900,1789542000,4,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789542060,1789542060,1,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789371900,1789542000,4,MRDIYT
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789464600,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789616400,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789614000,1789637700,5,MTC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,OR
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,OSP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636560,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635000,1789637100,5,PTT
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,PTTEP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789621140,1789634340,3,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789634100,5,PTTGC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789373700,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789634280,1789637940,3,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789376400,1789637700,5,RATCH
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,SCB
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,SCC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789614000,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789621200,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789614300,1789637700,5,SCGP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TCAP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789376400,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789542120,1789634340,4,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789377000,1789634100,5,TFG
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789377300,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789634280,1789637160,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789620900,1789637100,5,THAI
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637160,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,TIDLOR
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,TISCO
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TLI
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637100,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TOP
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636800,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TRUE
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636800,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TTB
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637160,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,TU
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,WHA
