signal_date,execution_date,symbol,side,quantity,order_type,validity,requested_price,executed_price,status,reason,order_value,commission,vat,total_fees,slippage,membership_end_date
2023-03-08 00:00:00,2023-03-09 00:00:00,OSP,SELL,590,LIMIT,IOC,32.00,32.00,FILLED,,18880.00,29.6416000,2.074912000,31.716512000,147.50,
2023-03-08 00:00:00,2023-03-09 00:00:00,CENTEL,BUY,629,LIMIT,IOC,55.75,55.75,FILLED,,35066.75,55.0547975,3.853835825,58.908633325,157.25,
2023-03-08 00:00:00,2023-03-09 00:00:00,KTB,BUY,187715,LIMIT,IOC,17.399999237060547,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-03-13 00:00:00,2023-03-14 00:00:00,CENTEL,SELL,58587,LIMIT,IOC,54.75,54.75,FILLED,,3207638.25,5035.9920525,352.519443675,5388.511496175,14646.75,
2023-03-13 00:00:00,2023-03-14 00:00:00,COM7,BUY,146647,LIMIT,IOC,32.00,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-03-13 00:00:00,2023-03-14 00:00:00,OSP,BUY,45011,LIMIT,IOC,32.25,32.25,FILLED,,1451604.75,2279.0194575,159.531362025,2438.550819525,11252.75,
2023-03-16 00:00:00,2023-03-17 00:00:00,OSP,SELL,145510,LIMIT,IOC,31.50,31.50,FILLED,,4583565.00,7196.1970500,503.733793500,7699.930843500,36377.50,
2023-03-16 00:00:00,2023-03-17 00:00:00,GLOBAL,BUY,541725,LIMIT,IOC,17.51071319580078,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-03-24 00:00:00,2023-03-27 00:00:00,BGRIM,BUY,116298,LIMIT,IOC,40.75,40.75,FILLED,,4739143.50,7440.4552950,520.831870650,7961.287165650,29074.50,
2023-03-24 00:00:00,2023-03-27 00:00:00,CENTEL,BUY,82420,LIMIT,IOC,57.50,57.50,FILLED,,4739150.00,7440.4655000,520.832585000,7961.298085000,20605.00,
2023-03-29 00:00:00,2023-03-30 00:00:00,BGRIM,SELL,70825,LIMIT,IOC,40.50,40.50,FILLED,,2868412.50,4503.4076250,315.238533750,4818.646158750,17706.25,
2023-03-29 00:00:00,2023-03-30 00:00:00,CENTEL,SELL,82420,LIMIT,IOC,55.75,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-03-29 00:00:00,2023-03-30 00:00:00,BDMS,BUY,62669,LIMIT,IOC,29.75,29.75,FILLED,,1864402.75,2927.1123175,204.897862225,3132.010179725,15667.25,
2023-03-29 00:00:00,2023-03-30 00:00:00,COM7,BUY,59661,LIMIT,IOC,31.25,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-03-29 00:00:00,2023-03-30 00:00:00,HMPRO,BUY,128580,LIMIT,IOC,14.499999618530272,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-03-29 00:00:00,2023-03-30 00:00:00,TOP,BUY,35012,LIMIT,IOC,53.25,,NON_FILL,INSUFFICIENT_CASH,0,0,0,0,0,
2023-04-03 00:00:00,2023-04-04 00:00:00,BGRIM,SELL,12201,LIMIT,IOC,39.25,39.25,FILLED,,478889.25,751.8561225,52.629928575,804.486051075,3050.25,
2023-04-03 00:00:00,2023-04-04 00:00:00,CENTEL,SELL,59012,LIMIT,IOC,56.00,56.00,FILLED,,3304672.00,5188.3350400,363.183452800,5551.518492800,14753.00,
2023-04-03 00:00:00,2023-04-04 00:00:00,BDMS,SELL,18947,LIMIT,IOC,29.75,29.75,FILLED,,563673.25,884.9670025,61.947690175,946.914692675,4736.75,
2023-04-03 00:00:00,2023-04-04 00:00:00,HMPRO,BUY,91213,LIMIT,IOC,14.499999618530272,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-04-03 00:00:00,2023-04-04 00:00:00,LH,BUY,133595,LIMIT,IOC,9.900000381469728,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
2023-04-03 00:00:00,2023-04-04 00:00:00,MTC,BUY,37788,LIMIT,IOC,35.00,35.00,FILLED,,1322580.00,2076.4506000,145.351542000,2221.802142000,9447.00,
2023-04-03 00:00:00,2023-04-04 00:00:00,TOP,BUY,24379,LIMIT,IOC,54.25,,NON_FILL,IOC_LIMIT_NOT_FILLED,0,0,0,0,0,
