group,horizon_days,sample_size,mean,median,hit_rate,q25,q50,q75,rank_spearman
qualified_not_selected,1,106,0.0012010372042336906,0.0,0.4056603773584906,-0.008032514080901125,0.0,0.009675556928862175,0.05710985526966899
selected,1,1517,-0.0012647952805144354,0.0,0.34871456822676333,-0.0121212407913962,0.0,0.0083333333333333,0.051146081808783384
qualified_not_selected,3,106,0.004454552654685971,0.0,0.49056603773584906,-0.01560474584838035,0.0,0.0217805145976959,0.10553617939948468
selected,3,1516,-0.000808620172034164,0.0,0.42150395778364114,-0.018223515385551,0.0,0.0157894335295025,0.05253464662244538
qualified_not_selected,5,106,0.0033770229082000776,0.0,0.49056603773584906,-0.016931261361027426,0.0,0.02454742227469485,0.045214654727235674
selected,5,1510,2.206386800781726e-06,0.0,0.4509933774834437,-0.0246761738197257,0.0,0.022364293183762624,0.07373734229750614
qualified_not_selected,10,106,0.005309498126065227,0.0053197459294167,0.5094339622641509,-0.028508803873519672,0.0053197459294167,0.046196231790768275,-0.054567955035554665
selected,10,1501,-0.0023045724451611267,-0.0046728925107714,0.4423717521652232,-0.0387596899224805,-0.0046728925107714,0.0324675324675325,0.058268052561307765
qualified_not_selected,20,106,-0.008572645084373023,-0.006920498084291149,0.37735849056603776,-0.05053133970627907,-0.006920498084291149,0.03954548998206905,-0.1770727150642951
selected,20,1485,-0.0027147762669794398,-0.0057142857142856,0.45252525252525255,-0.0596026853952299,-0.0057142857142856,0.0472972972972973,0.020163284717822465
