date,symbol,momentum_20,rank,selected_by_design_c,candidate_count,forward_return_1d,forward_return_3d,forward_return_5d,forward_return_10d,forward_return_20d
2023-02-01,TOP,0.08333333333333326,1,True,5,-0.012820512820512775,-0.021367521367521403,-0.021367521367521403,-0.03418803418803418,-0.12393162393162394
2023-02-01,PTTGC,0.06382978723404253,2,True,5,-0.0050000000000000044,-0.010000000000000009,0.0,-0.010000000000000009,-0.06000000000000005
2023-02-01,IVL,0.037735849056603765,3,True,5,-0.012121212121212088,-0.0060606060606061,-0.012121212121212088,-0.030303030303030276,-0.11515151515151512
2023-02-01,BDMS,0.025423728813559254,4,True,5,-0.008264462809917328,-0.016528925619834656,-0.024793388429752095,-0.03305785123966942,-0.0826446280991735
2023-02-01,LH,0.010101049022522401,5,True,5,-0.010000038146972812,-0.01499996185302721,-0.025000000000000022,-0.019999980926513672,-0.01499996185302721
2023-02-06,CENTEL,0.04854368932038833,1,True,2,0.0,0.0185185185185186,0.02777777777777768,0.004629629629629539,0.02777777777777768
2023-02-06,LH,0.005102060179767776,2,True,2,0.0050760644796119525,-0.010152322598672603,-0.0050761612993364125,-0.0050761612993364125,-0.020304645197345095
2023-02-09,CENTEL,0.10000000000000009,1,True,3,0.018181818181818077,-0.009090909090909038,-0.009090909090909038,0.027272727272727337,0.045454545454545414
2023-02-09,PTTGC,0.004975124378109541,2,True,3,0.0,0.0,-0.01980198019801982,-0.054455445544554504,-0.0643564356435643
2023-02-09,GLOBAL,0.004854372078292091,3,True,3,-0.004830920990324339,-0.08212565683551298,-0.08212565683551298,-0.043478288912918606,-0.0036231638678628775
2023-02-14,CENTEL,0.058252427184465994,1,True,2,0.013761467889908285,0.00917431192660545,0.004587155963302836,0.03669724770642202,-0.013761467889908285
2023-02-14,HMPRO,0.006802747127023556,2,True,2,0.0,-0.00675678244466027,0.02027028289652799,-0.05405406624492348,-0.05405406624492348
2023-02-17,CENTEL,0.10000000000000009,1,True,2,-0.013636363636363669,0.013636363636363669,0.013636363636363669,0.0,-0.022727272727272707
2023-02-17,OSP,0.05882352941176472,2,True,2,-0.023809523809523836,0.015873015873015817,0.007936507936507908,0.0,-0.007936507936507908
2023-02-22,OSP,0.0847457627118644,1,True,5,0.0,0.0,-0.015625,0.0234375,0.015625
2023-02-22,CENTEL,0.06698564593301426,2,True,5,0.013452914798206317,0.0,-0.004484304932735439,0.026905829596412634,0.004484304932735439
2023-02-22,HMPRO,0.041666694261410564,3,True,5,0.0,-0.04666665395100911,-0.0866666793823242,-0.04666665395100911,-0.04666665395100911
2023-02-22,BDMS,0.034482758620689724,4,True,5,-0.01666666666666672,-0.050000000000000044,-0.07499999999999996,-0.06666666666666665,-0.033333333333333326
2023-02-22,SCGP,0.014423076923076872,5,True,5,-0.004739336492891044,-0.009478672985781977,-0.018957345971563955,-0.004739336492891044,-0.10426540284360186
2023-02-27,OSP,0.10344827586206895,1,True,3,0.0078125,-0.0078125,-0.0078125,-0.0234375,-0.0234375
2023-02-27,CENTEL,0.07211538461538458,2,True,3,0.013452914798206317,-0.013452914798206317,-0.004484304932735439,-0.053811659192825156,0.008968609865470878
2023-02-27,COM7,0.008064516129032251,3,True,3,-0.02400000000000002,-0.02400000000000002,0.008000000000000007,-0.02400000000000002,0.008000000000000007
2023-03-02,OSP,0.11403508771929816,1,True,1,-0.007874015748031482,0.015748031496062964,0.023622047244094446,-0.007874015748031482,-0.03149606299212604
2023-03-08,OSP,0.13157894736842102,1,True,3,0.015503875968992276,0.007751937984496138,-0.023255813953488413,-0.007751937984496138,-0.06201550387596899
2023-03-08,CENTEL,0.02777777777777768,2,True,3,0.03153153153153143,0.0045045045045044585,-0.03153153153153154,-0.013513513513513487,0.009009009009008917
2023-03-08,KTB,0.005813864516596823,3,True,3,-0.005780258874628963,-0.034681994253257575,-0.04046236337925746,-0.017340997126628732,-0.05202310163125723
2023-03-13,OSP,0.14035087719298245,1,True,2,-0.038461538461538436,-0.03076923076923077,-0.038461538461538436,-0.038461538461538436,-0.08461538461538465
2023-03-13,COM7,0.040983606557376984,2,True,2,-0.03937007874015752,-0.03149606299212604,-0.055118110236220486,0.0,-0.13385826771653542
2023-03-16,GLOBAL,0.06922404460370424,1,True,1,-0.020618588486796763,-0.03608247479440707,-0.056701063281203834,-0.0463917690378054,-0.08762889095391169
2023-03-24,BGRIM,0.03846153846153855,1,True,2,-0.012345679012345734,0.006172839506172867,0.0,-0.01851851851851849,-0.07407407407407407
2023-03-24,CENTEL,0.01327433628318575,2,True,2,0.004366812227074135,-0.02183406113537123,-0.02183406113537123,-0.0393013100436681,-0.05676855895196509
2023-03-29,BDMS,0.0625,1,True,5,-0.008403361344537785,0.0,0.01680672268907557,0.01680672268907557,-0.01680672268907568
2023-03-29,TOP,0.054455445544554504,2,True,5,-0.0046948356807511304,0.014084507042253502,-0.014084507042253502,-0.023474178403755874,-0.11737089201877937
2023-03-29,BGRIM,0.044871794871794934,3,True,5,-0.012269938650306789,-0.030674846625766916,-0.030674846625766916,-0.018404907975460127,-0.05521472392638038
2023-03-29,HMPRO,0.03571428571428581,4,True,5,-0.020689668326542288,-0.006896578032395073,-0.006896578032395073,-0.013793090294147325,-0.02758618058829465
2023-03-29,COM7,0.024590163934426146,5,True,5,-0.02400000000000002,-0.04800000000000004,-0.136,-0.10399999999999998,-0.22240002441406248
2023-04-03,BGRIM,0.08219178082191791,1,True,7,-0.025316455696202556,-0.006329113924050667,0.012658227848101333,-0.025316455696202556,0.012658227848101333
2023-04-03,BDMS,0.0625,2,True,7,0.025210084033613356,0.008403361344537785,0.025210084033613356,-0.008403361344537785,0.0
2023-04-03,HMPRO,0.035971224008772174,3,True,7,-0.00694440489197834,0.0,-0.00694440489197834,-0.0624999751647306,0.00694447111936336
2023-04-03,CENTEL,0.031818181818181746,4,True,7,-0.013215859030836996,-0.022026431718061623,-0.026431718061673992,-0.03083700440528636,-0.004405286343612369
2023-04-03,MTC,0.029850746268656803,5,True,7,0.0,-0.01449275362318836,0.050724637681159424,0.04347826086956519,0.07246376811594213
2023-04-03,LH,0.02617800994837083,6,True,7,0.0,0.0,0.010204023045831123,0.0,-0.03061226376490178
2023-04-03,TOP,0.014084507042253502,7,True,7,-0.01388888888888884,-0.02777777777777779,-0.01851851851851849,-0.09722222222222221,-0.12037037037037035
2023-04-07,BDMS,0.0714285714285714,1,True,4,0.016666666666666607,-0.01666666666666672,0.0,-0.01666666666666672,-0.008333333333333304
2023-04-07,MTC,0.022556390977443552,2,True,4,0.03676470588235303,0.0808823529411764,0.08823529411764697,0.014705882352941124,0.1470588235294117
2023-04-07,HMPRO,0.006992966885426943,3,True,4,0.0,-0.00694440489197834,-0.0138888760113417,-0.05555550404536713,0.00694447111936336
2023-04-07,LH,0.005128224690755134,4,True,4,0.0,0.005102060179767776,0.010204023045831123,-0.010204120359535218,-0.09693875416076903
2023-04-12,MTC,0.185483870967742,1,True,7,0.006802721088435382,0.0,-0.020408163265306145,-0.07482993197278909,0.04761904761904767
2023-04-12,BGRIM,0.09589041095890405,2,True,7,0.0,-0.018750000000000044,-0.050000000000000044,-0.03125,-0.06874999999999998
2023-04-12,BDMS,0.07272727272727275,3,True,7,0.025423728813559254,0.0,-0.008474576271186418,-0.008474576271186418,-0.008474576271186418
2023-04-12,KTB,0.06832300344140174,4,True,7,0.005813864516596823,-0.02906976615241441,0.05813953230482882,0.04651158148692014,0.09302316297384028
2023-04-12,LH,0.06486490610483542,5,True,7,0.010152225778948365,-0.0050761612993364125,-0.0050761612993364125,-0.0050761612993364125,-0.13705587098345817
2023-04-12,RATCH,0.046666666666666634,6,True,7,0.0,-0.01273885350318471,-0.019108280254777066,-0.03821656050955413,-0.05095541401273884
2023-04-12,TOP,0.034482758620689724,7,True,7,-0.00952380952380949,-0.05714285714285716,-0.06190476190476191,-0.11428571428571432,-0.1428571428571429
2023-04-19,MTC,0.13953488372093026,1,True,3,-0.020408163265306145,-0.03401360544217691,-0.05442176870748294,0.0,0.061224489795918435
2023-04-19,LH,0.020833312637276835,2,True,3,0.0,0.0,-0.0051020601797675535,-0.03061226376490178,-0.11224493470007191
2023-04-19,RATCH,0.019736842105263053,3,True,3,-0.012903225806451646,-0.006451612903225823,-0.02580645161290318,0.006451612903225712,-0.058064516129032295
2023-04-24,MTC,0.06766917293233088,1,True,3,-0.028169014084507005,-0.05633802816901412,-0.04929577464788737,0.09859154929577474,0.1338028169014085
2023-04-24,KTB,0.05882352941176472,2,True,3,0.0,0.0,0.005555576748318192,0.0444444020589192,0.0722221798366971
2023-04-24,LH,0.020833312637276835,3,True,3,-0.010204120359535218,0.0,-0.010204120359535218,-0.0561224673500359,-0.11734699487983946
2023-04-27,KTB,0.07784426213593343,1,True,1,0.0,0.016666624281141518,0.03888893127441406,0.0444444020589192,0.06666670905219174
2023-05-03,KTB,0.09580828748653714,1,True,2,0.016393505842428047,0.016393505842428047,0.021858007789903988,0.021858007789903988,0.06557381491630077
2023-05-03,MTC,0.03649635036496357,2,True,2,0.035211267605633756,0.11971830985915499,0.09859154929577474,0.09859154929577474,0.1619718309859155
2023-05-10,MTC,0.15217391304347827,1,True,6,-0.018867924528301883,-0.03144654088050314,-0.03144654088050314,0.0062893081761006275,0.037735849056603765
2023-05-10,KTB,0.11377242704962875,2,True,6,0.010752626424140876,0.010752626424140876,0.010752626424140876,0.03225808436366906,0.043010710787809936
2023-05-10,BGRIM,0.032467532467532534,3,True,6,0.0,-0.0691823899371069,-0.06289308176100628,-0.05031446540880502,-0.05660377358490565
2023-05-10,IVL,0.021739130434782705,4,True,6,-0.028368794326241176,-0.049645390070921946,-0.06382978723404253,-0.049645390070921946,-0.05673758865248224
2023-05-10,HMPRO,0.020979034037302835,5,True,6,0.0068492756974394275,-0.006849341017596711,-0.0342465744476691,-0.02739729875022956,-0.06164387319789866
2023-05-10,RATCH,0.006493506493506551,6,True,6,-0.006451612903225823,-0.032258064516129004,-0.03870967741935483,-0.058064516129032295,-0.032258064516129004
2023-05-15,KTB,0.125748405879202,1,True,6,0.0,-0.005319067988256432,-0.005319067988256432,0.021276677771900232,0.03191491520313172
2023-05-15,MTC,0.09219858156028371,2,True,6,0.01298701298701288,0.006493506493506551,0.01298701298701288,0.045454545454545414,0.09090909090909083
