month,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
2023-02,32,63287372.951122284,422990.1,13218.440625,13471.075,106316.45782059032,529306.5578205903,66.83641305931296
2023-03,20,53328983.0,343017.5,17150.875,16686.75,89587.3585417,432604.8585417,64.32102783583927
2023-04,46,66954529.75750961,419683.6,9123.55652173913,8367.75,112476.91453964039,532160.5145396404,62.681882991333886
2023-05,54,77875820.63322754,541147.1,10021.242592592593,10122.75,130823.59108175895,671970.6910817589,69.48846196416284
2023-06,52,59162025.89581909,410531.5,7894.836538461538,8412.875,99386.2873023865,509917.7873023865,69.39104835979117
2023-07,59,84326365.93243065,560909.85,9506.94661016949,6394.25,141659.86212989024,702569.7121298902,66.51654483123913
2023-08,95,55346182.55195503,393945.65,4146.796315789474,4312.5,92976.05206902926,486921.70206902927,71.17846829457336
2023-09,42,53765002.53122024,368465.8,8772.995238095238,8294.25,90319.82775219688,458785.62775219686,68.53264812663951
2023-10,24,98019843.0677185,590371.05,24598.79375,28816.625,164663.5343694603,755034.5843694604,60.22974854103094
2023-11,61,37986931.62982063,267882.35,4391.513934426229,4061.75,63814.246444935685,331696.59644493565,70.51960727191403
2023-12,65,38678361.50998449,268222.35,4126.497692307692,4307.4,64975.77950062295,333198.129500623,69.34687497834173
2024-01,62,45475958.95678301,311071.2,5017.2774193548385,2877.3999999999996,76395.06345149977,387466.26345149975,68.40343934156925
2024-02,60,50730746.78149929,366239.95,6103.9991666666665,2553.65,85222.58151824065,451462.5315182407,72.19289547962302
2024-03,74,39276506.81043129,268464.05,3627.8925675675673,3128.0,65980.60379084352,334444.6537908435,68.35232351383644
2024-04,38,29932764.25455284,180262.0,4743.736842105263,4394.0,50284.05067122332,230546.05067122332,60.22230304793242
2024-05,34,29001998.1782917,179515.95,5279.880882352942,4417.4,48720.45673971223,228236.40673971223,61.897786799521135
2024-06,34,40416180.52204075,261221.75,7682.992647058823,6855.35,67895.14165897625,329116.89165897627,64.63296299301318
2024-07,58,34247796.60864544,199731.25,3443.6422413793102,2954.125,57532.873522863476,257264.1235228635,58.31944527186905
2024-08,40,33401289.521266557,190788.05,4769.70125,4624.0,56110.826266775686,246898.87626677568,57.11996534700419
2024-09,71,16855161.25886936,117603.2,1656.3830985915492,407.5,28314.98539877464,145918.18539877463,69.77281213380024
2024-10,64,31110428.88059082,217626.6,3400.415625,3166.95,52262.409476504516,269889.0094765045,69.95294112958145
2024-11,12,33596222.95463314,252091.15,21007.595833333333,20082.75,56438.29494148821,308529.4449414882,75.03556287872384
2024-12,34,24523606.89458103,177004.0,5206.0,4265.6,41197.20722220668,218201.20722220666,72.17698471553648
2025-01,22,16846521.434604265,97750.4,4443.2,3193.85,28300.4713579917,126050.8713579917,58.024085494119824
2025-02,22,33903686.76835976,174286.55,7922.115909090909,7563.299999999999,56954.803402167556,231241.35340216756,51.40637099167958
2025-03,38,29799379.43475151,180464.25,4749.059210526316,4570.5,50059.977512439065,230524.22751243907,60.55973427068947
2025-04,28,17239109.932756998,95115.0,3396.964285714286,3344.925,28959.980776038476,124074.98077603847,55.17396221209
2025-05,90,12480475.040647794,77791.15,864.3461111111111,552.9,20965.95002078423,98757.10002078423,62.33027969419526
2025-06,44,25844401.868282318,187870.45,4269.782954545455,3217.8500000000004,43416.01069852747,231286.46069852746,72.6928992040497
2025-07,80,18373391.116791878,103942.98,1299.2872499999999,1205.975,30865.459737098674,134808.43973709867,56.572561558875236
2025-08,108,11638270.812534723,67225.54,622.4587037037037,242.375,19551.13113797708,86776.67113797709,57.76248128510321
2025-09,106,14739329.91399683,91708.05,865.170283018868,448.475,24760.600322523274,116468.65032252327,62.21995880078089
2025-10,50,21485433.954717007,149726.31,2994.5262,2309.0,36093.3805005291,185819.6905005291,69.6873567066717
2025-11,44,19388744.84576111,138585.7,3149.675,2928.875,32571.152466394087,171156.85246639408,71.47739634641616
2025-12,68,18068171.713136386,113411.3,1667.8132352941177,1352.075,30352.721660897816,143764.02166089782,62.76855334374801
2026-01,91,9125418.077653427,54629.06,600.3193406593406,283.5,15329.789828649993,69958.84982865,59.864720208027656
2026-02,157,7242595.917776794,42659.01,271.71343949044586,53.4,12166.836882273237,54825.84688227324,58.90016574760769
2026-03,43,16110612.682815323,103588.24,2409.0288372093023,1894.25,27064.218245861462,130652.45824586146,64.29813815243307
2026-04,98,22160045.559751034,149852.45,1529.1066326530613,1180.375,37226.66053582576,187079.11053582575,67.62280772209911
2026-05,82,19133806.25757141,111699.5,1362.189024390244,1265.175,32142.881132094215,143842.38113209422,58.378086668354115
2026-06,121,13204303.270756502,83942.71,693.7414049586778,364.75,22181.90906454385,106124.61906454385,63.572237231105916
2026-07,150,10566722.558526602,70364.37,469.0958,161.20999999999998,17751.03722606884,88115.40722606884,66.59053420799896
2026-08,83,24683652.531595077,139455.84,1680.1908433734939,1458.7,41466.06788782657,180921.90788782656,56.49724643526581
2026-09,6,703815.0,4221.25,703.5416666666666,697.625,1182.3388185,5403.5888185,59.9766984221706
