fold,design,research_period,oos_period,research_observations,oos_observations,starting_capital,final_equity,gross_return,net_return,volatility,maximum_drawdown,turnover,buy_turnover,sell_turnover,commission,vat,total_fees,slippage,total_transaction_cost,fills,non_fills,average_positions,average_cash_percentage,unique_symbols_traded,valuation_complete,duplicate_exit_symbols
1,D0,"{""start"": ""2023-01-03"", ""end"": ""2024-08-26""}","{""start"": ""2024-08-27"", ""end"": ""2025-02-19""}",400,120,10000000,9698295.932644577392353427389,-0.02000023914228437923419999996,-0.0301704067355422607646572611,0.08670722723054261,-0.10133218034972913,6.0540315454835892198686,3.1945823798129367995514,2.8594491656706524203172,95048.29526409235075193702,6653.3806684864645526355914,101701.6759325788153045726114,407794.350000000000000,509496.0259325788153045726114,61,0,3.85,0.6106823887974594,15,True,0
2,D0,"{""start"": ""2023-01-03"", ""end"": ""2025-02-19""}","{""start"": ""2025-02-20"", ""end"": ""2025-08-22""}",520,120,10000000,8894272.370389388249763459089,-0.09813256614810933586185003163,-0.1105727629610611750236540911,0.1324201570772062,-0.11057276296106111,7.4053198481765814404453,4.1929048882788534685494,3.2124149598977279718959,116263.52161637232861499121,8138.4465131460630030493847,124401.9681295183916180405947,470944.670000000000000,595346.6381295183916180405947,75,0,3.5294117647058822,0.6201891683783138,17,False,0
3,D0,"{""start"": ""2023-01-03"", ""end"": ""2025-08-22""}","{""start"": ""2025-08-25"", ""end"": ""2026-02-17""}",640,120,10000000,11182124.78625964438240383883,0.13067601678164494114375,0.118212478625964438240383883,0.13729852853584065,-0.10709293964710165,7.41921433161527644703025,4.1928913061081838587232,3.22632302550709258830705,116481.665006359840218374925,8153.71655044518881528624475,124635.3815568050290336611698,478411.2000000000000000,603046.5815568050290336611698,75,0,6.325,0.32540379817218296,16,True,0
4,D0,"{""start"": ""2023-01-03"", ""end"": ""2026-02-17""}","{""start"": ""2026-02-18"", ""end"": ""2026-08-11""}",760,120,10000000,9652621.612166841074768643535,-0.02130518412650099068653509226,-0.0347378387833158925231356465,0.17287415814308538,-0.11154045360303544,7.9961037304690171061376,4.3925531084729576527483,3.6035506219960594533893,125538.828568363568566360320,8787.71799978544979964522240,134326.5465681490183660055424,474355.0000000000000000,608681.5465681490183660055424,81,0,6.188888888888889,0.2984353279406772,16,False,0
5,D0,"{""start"": ""2023-01-03"", ""end"": ""2026-08-11""}","{""start"": ""2026-08-12"", ""end"": ""2026-09-04""}",880,18,10000000,9829805.684862901941390362559,-0.01337401540392874077219999999,-0.0170194315137098058609637441,0.05322169767950602,-0.024563931785335225,2.1700197093761920880789,1.2977975389427375778135,0.8722221704334545102654,34069.30943720621578283873,2384.8516606044351047987111,36454.1610978106508876374411,124659.650000000000000,161113.8110978106508876374411,22,0,3.3333333333333335,0.6627962579207805,10,True,0
