side,fills,notional,slippage,avg_slippage,median_slippage,fees,transaction_cost,slippage_bps
BUY,1272,738589435.804079,4798062.48,3772.061698113208,1800.2,1240756.3932072723,6038818.873207272,64.96251161210424
SELL,1390,721448533.971701,4749013.63,3416.5565683453237,1443.3600000000001,1211961.3922190606,5960975.022219061,65.82609023897858
