15m_accessible,15m_fields,15m_first,15m_last,15m_rows,1d_accessible,1d_fields,1d_first,1d_last,1d_rows,1m_accessible,1m_fields,1m_first,1m_last,1m_rows,5m_accessible,5m_fields,5m_first,5m_last,5m_rows,last_observed,market_status,quote_accessible,quote_fields,symbol
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789372800,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786899600,1787245200,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789613880,1789634340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789377900,1789634100,5,9.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",CCET
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789370100,1789633800,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786899600,1787245200,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789634280,1789634340,2,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789370400,1789634100,5,29.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",COM7
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789633800,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789637040,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636200,1789637700,5,23.4,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",CPALL
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637220,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,22.45,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",CPF
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636860,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,65.75,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",CPN
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789378200,1789637400,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789530600,1789637940,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789378500,1789637700,5,27.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",CRC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,247.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",DELTA
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636920,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,126.0,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",EGCO
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636980,1789637280,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,21.3,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",GPSC
True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789632900,1789636500,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1786986000,1789491600,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789636800,1789637340,5,True,"['close', 'high', 'lastSequence', 'low', 'open', 'time', 'value', 'volume']",1789635900,1789637100,5,62.5,Close,True,"['aumSize', 'average', 'change', 'eps', 'exchange', 'exercisePrice', 'exerciseRatio', 'high', 'iNav', 'impliedVolatility', 'instrumentType', 'intrinsicValue', 'last', 'lastTradingDate', 'low', 'marketStatus', 'maturityDate', 'moneyness', 'pbv', 'pe', 'percentChange', 'percentYield', 'securityType', 'status', 'symbol', 'theoretical', 'toLastTrade', 'totalBuyVolume', 'totalNoSideVolume', 'totalSellVolume', 'totalVolume', 'underlying', 'underlyingPrice']",GULF
